BN,TN,SubNum,group,hand,isTrain,seq,ChunkSize,digitChangePos,digitChangeValue,isTrialError,timingError,IPI_Number,IPI_Value,N,Press_Number,Press_Value,Response_Number,Response_Value,isPressError
6,21,4,1,2,0,13524232514,3332,7,2,0,0,IPI3,245.0,4,press4,2,response4,2,False
6,22,4,1,2,0,21232252513,3332,5,3,0,0,IPI3,520.0,4,press4,3,response4,3,False
6,23,4,1,2,0,23154532321,3332,9,5,0,0,IPI3,385.0,4,press4,5,response4,5,False
6,24,4,1,2,0,34535434113,2333,9,4,1,0,IPI3,865.0,4,press4,3,response4,5,True
7,1,4,1,2,0,42123421225,3332,9,3,0,0,IPI3,340.0,4,press4,2,response4,2,False
7,2,4,1,2,0,53531414125,2333,7,5,0,0,IPI3,160.0,4,press4,3,response4,3,False
7,3,4,1,2,0,14354531143,2333,7,5,0,0,IPI3,485.0,4,press4,5,response4,5,False
7,4,4,1,2,0,14325242135,2333,5,3,0,0,IPI3,330.0,4,press4,2,response4,2,False
7,5,4,1,2,0,13524232514,3332,9,1,0,0,IPI3,280.0,4,press4,2,response4,2,False
7,6,4,1,2,0,51423252413,2333,5,2,0,0,IPI3,305.0,4,press4,2,response4,2,False
7,7,4,1,2,0,14325242135,2333,5,2,0,0,IPI3,420.0,4,press4,2,response4,2,False
7,8,4,1,2,0,41325242351,3332,5,2,0,0,IPI3,295.0,4,press4,2,response4,2,False
7,9,4,1,2,0,25214542352,3332,7,5,1,0,IPI3,500.0,4,press4,1,response4,1,False
7,10,4,1,2,0,14325242135,2333,9,3,0,0,IPI3,275.0,4,press4,2,response4,2,False
7,11,4,1,2,0,24542151411,2333,9,2,1,0,IPI3,1500.0,4,press4,4,response4,4,False
7,12,4,1,2,0,13524232514,3332,5,2,0,0,IPI3,240.0,4,press4,2,response4,2,False
7,13,4,1,2,0,51423252413,2333,9,1,0,0,IPI3,360.0,4,press4,2,response4,2,False
7,14,4,1,2,0,41325242351,3332,5,1,0,0,IPI3,285.0,4,press4,2,response4,2,False
